year,appear,url,vol,url-pages,cases,note
1922,N,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132651f,21,,,
1927,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326743,44,,,
1927,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326751,45,,,
1927,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132676z,46,,,
1927,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132679t,49,,,
1927,Y,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326808,50,177-183,A7765,Kraft (not Kraft-Phenix)
1928,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326816,51,,,
1928,Y,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326824,52,171-186,A7869,Phenix; A. E. Wright
1928,Y,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326832,53,77-87,A7910,Milani Co.; Brodhead Cheese & Cold Storage Co.
1928,Y,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132685y,55,157-163,A8027,
1928,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132686w,56,,,
1928,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132687u,57,,,
1928,Y,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132688s,58,261-267,A8185,
1928,Y,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132689q,59,465-487,A8264,"Birnamwood Wittenberg Milk Co.; Badger Cheese Co.; F. N. Mills; Potsdam Creamery Co.; St. Lawrence County Dairies, Inc.; Lexington-Purity Creamery Products, Inc.; S. J. Stevens Co.; Peacock Cheese Co.; Chicago National Cheese Co.; E. W. Coon; Sheboygan Cheese Co."
1928,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326905,60,,,
1928,Y,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326913,61,135-146,A8324,
1929,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326921,62,,,
1929,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132694x,64,,,
1929,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132695v,65,,,
1929,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132696t,66,,,
1929,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132698p,68,,,
1929,Y,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132699n,69,79-84;405-415,A8716;A8753,"Southern Dairies; Cloverleaf Creameries, Inc; Ward Dry Milk Co"
1929,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132700s,70,,,
1929,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132701q,71,,,
1929,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132702o,72,,,
1929,Y,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132704k,74,219-238,A8980,"Southern Dairies; Tuttle Cheese Co.; John E. Cain; Crawford Farms; Gelfand Manufacturingt Co.; Henard Mayonnaise Company; Missoula Creamery, Incorporated; Red Rock Dairy; Sauquoit Vallery Dairy Co., Inc.; Sentinel Creamery, Inc."
1929,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132706g,76,,,
1930,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132708c,78,,,
1930,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132709a,79,,,
1930,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132710p,80,,,
1930,NDPC,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132711n,81,,,
1930,NDPC,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132712l,82,,,
1930,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132713j,83,,,
1930,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132714h,84,,,
1930,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132716d,86,,,
1930,name only,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132717b,87,,,
