year,url,appear,vol,url-pages,date,cases
1927,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326743,name only,44,,1927-03/1927-04,
1927,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326751,Y,45,443-448,1927-04/1927-05,A7528
1927,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132676z,name only,46,,1927-05/1927-06,
1927,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132679t,Y,49,71-81,1927-10/1927-11,A7705
1927,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326808,Y,50,193-201,1927-11/1927-12,A7767
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326816,Y,51,409-416,1927-12/1928-02,A7842
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326824,name only,52,,1928-02/1928-03,
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326832,Y,53,237-245;247-260,1928-03/1928-04,A7927;A7928
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132685y,Y,55,303-311;383-391,1928-05/1928-06,A8042;A8052
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132686w,name only,56,,1928-06/1928-08,
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132687u,name only,57,,1928-08/1928-09,
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132688s,name only,58,,1928-09/1928-10,
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132689q,Y,59,303-313,1928-10/1928-11,A8243
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326905,Y,60,165-172,1928-11/1928-12,A8276
1928,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326913,Y,61,83-94;455-465,1928-12/,A8318;A8358
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d001326921,name only,62,,1928-12/1929-01,
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132694x,Y,64,463-471;473-486,1929-02/1929-03,A8515;A8516
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132695v,name only,65,,1929-03/1929-04,
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132696t,Y,66,265-291,1929-04/,A8591;A8592
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132698p,Y,68,175-188,1929-05/1929-06,A8675
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132699n,name only,69,,1929-06/,
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132700s,Y,70,265-278,1929-06/1929-07,A8787
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132701q,Y,71,127-139,1929-07/1929-08,A8821
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132702o,Y,72,67-88;325-333;537-544,1929-08/1929-09,A8857;A8883;A8903
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132704k,name only,74,,1929-10/,
1929,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132706g,Y,76,413-423,1929-11/1929-12,A9104
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132708c,Y,78,285-295;297-305,1930-01/1930-02,A9191;A9192
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132709a,Y,79,189-198,1930-02/1930-03,A9234
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132710p,Y,80,459-476,1930-03/1930-04,A9314
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132711n,Y,81,385-403,1930-04/1930-05,A9355
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132712l,Y,82,499-502;511-514,1930-05/1930-06,A9015-SUP1;A9015-SUP2
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132713j,name only,83,,1930-06/1930-07,
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132714h,Y,84,175-184,1930-07/1930-08,A9478
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132716d,Y,86,313-322,1930-10/1930-11,A9588
1930,https://babel.hathitrust.org/cgi/pt?id=umn.31951d00132717b,Y,87,207-232,1930-11/1930-12,A9627
