sequence,company,city,state,acquirer,date_str,date,commodities_handled,note
N001,Hydrox Corporation,Chicago,Illinois,N.D.P.C.,"""12/8/23""",1923-12-08,Ice Cream; Bevarages,
N002,Hydrox Co. of Ind.,Hammond,Indiana,N.D.P.C.,"""12/8/23""",1923-12-08,Ice Cream; Bevarages,
N003,"Bhecvers Ice Cream Co., Inc.",Long Island City,New York,N.D.P.C.,"""12/8/23""",1923-12-08,Ice Cream; Bevarages,
N004,Rieck-McJunkin Dairy Co.,Pittsburgh,Pennsylvania,N.D.P.C.,"""1/12/24""",1924-01-12,Milk; Cream; Ice Cream; Other Milk Products,
N005,Pittsburgh Ice Cream Co.,Pittsburgh,Pennsylvania,N.D.P.C.,"""1/12/24""",1924-01-12,Ice Cream,
N006,Rieck Certified Dairy Farm Co.,Rootstown,Ohio,N.D.P.C.,"""1/12/24""",1924-01-12,Milk,
N007,Ohio Milk Sugar Co.,Farmdale,Ohio,N.D.P.C.,"""1/12/24""",1924-01-12,Casein; Milk; Sugar and Albumen,
N008,The J. T. Castles Ice Cream Company,Irvington,New Jersey,N.D.P.C.,"""5/14/24""",1924-05-14,Ice Cream,
N009,Castles Ice Cr. Co. of Perth Amboy,Perth Amboy,New Jersey,N.D.P.C.,"""5/14/24""",1924-05-14,Ice Cream,
N010,The W. E. Hoffman Co.,Altoona,Pennsylvania,Rieck-McJunkin Dairy Co.,"""6/1/24""",1924-06-01,Ice Cream; Milk; Cream; Butter; Other Milk Products,
N011,Durkin Ice Cream Co.,Waukegan,Illinois,Hydrox Corp.,"""9/1/24""",1924-09-01,Ice Cream,
N012,Moore Brothers Co.,Oil City,Pennsylvania,N.D.P.C.,"""11/20/24""",1924-11-20,Milk; Cream; Ice Cream; Butter; Cheese,
N013,"Chapell Ice Cream Co., Inc.",Chicago,Illinois,N.D.P.C.,"""1/8/25""",1925-01-08,Ice Cream,
N014,Thompson Ice Cream Co. Inc.,Chicago,Illinois,N.D.P.C.,"""1/8/25""",1925-01-08,Ice Cream,
N015,William Olhaver Co.,Aurora,Illinois,Hydrox Corp.,"""1/15/25""",1925-01-15,Ice Cream,
N016,C. E. Clark,Indiana,Pennsylvania,The W. E. Hoffman Co.,"""2/2/25""",1925-02-02,Ice Cream,
N017,Bridgeman-Russell Co. Inc.,Long Island City,New York,N.D.P.C.,"""3/2/25""",1925-03-02,Ice Cream,
N018,Clover Farm Dairy Co.,Memphis,Tennessee,N.D.P.C.,"""4/30/25""",1925-04-30,Milk; Cream; Ice Cream; Other Milk Products,
N019,Lily Ice Cream Co.,Memphis,Tennessee,N.D.P.C.,"""4/30/25""",1925-04-30,Ice Cream,
N020,Erie County Milk Assn.,Erie,Pennsylvania,Rieck-McJunkin Dairy Co.,"""5/16/25""",1925-05-16,Milk; Cream; Ice Cream; Other Milk Products,
N021,Allen Ice Cream Co.,Rockford,Illinois,Hydrox Corp.,"""5/29/25""",1925-05-29,Ice Cream,
N022,American Ice Cream & Baking Co.,(Joliet?),(Illinois?),Hydrox Corp.,"""6/1/25""",1925-06-01,Ice Cream,"Magazine of Wall Street 1925-12-19 vol.37 iss.4 wrote as acquired by NDPC, and The Northwestern Miller 1926-01-13 vol.145 iss.2 wrote as acquired by Keig-Stevens Baking Co., Rockford,"
N023,Louis Mogolia,Morristown,New Jersey,The J. T. Castles Ice Cr. Co.,"""6/13/25""",1925-06-13,Ice Cream,
N024,Humphries-Philadelphia Ice Cream Co.,Brooklyn,New York,"Edward E. Rieck Co. Inc, (operated under N.D.P.C.)","""8/1/25""",1925-08-01,Ice Cream,
N025,Carpenter Ice Cream Co.,St. Louis,Missouri,N.D.P.C.,"""8/11/25""",1925-08-11,Ice Cream,
N026,Lake City Ice Cream Co.,Jamestown,New York,Erie County Milk Assn.,"""8/17/25""",1925-08-17,Ice Cream,
N027,Lavant Ice Cream Co.,Jamestown,New York,Lake City Ice Cr. Co.,"""8/31/25""",1925-08-31,Ice Cream,
